dashboard_csv_file,column_name,date_reflected,last_updated_date,updated_by,notes
Facility Data/02.4_InformationTechnologyProjects.csv,ReplacementCost,Planning snapshot,,,"Extended cost in dollars for the row; summed into section and school totals. — Information Technology project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,,,,,"Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,JeffCoFacilityID,Pre-filled — do not update,,,"District short numeric facility id; already filled for each school and does not need updating. Joins the row to Decision Data Export and the map. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,UniqueID,Pre-filled — do not update,,,"Campus unique id (CO-1420-nnnn); already filled for each school and does not need updating. Primary join key used by the School Project List. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,SchoolName,Pre-filled — do not update,,,"School name; already filled for each school and does not need updating. Fallback join when ids are blank. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,SystemCategory,Planning snapshot,,,"High-level system bucket for the row; drives grouping and section totals. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,AssetType,Planning snapshot,,,"Named system or line item within the category. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,PriorityScore,Planning snapshot,,,"District renewal priority 1-4 when populated; used in priority cost rollups. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,ConditionSource,Planning snapshot,,,"Condition metric or source label for the row. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
Facility Data/02.5_FoodAndNutritionProjects.csv,ReplacementCost,Planning snapshot,,,"Extended cost in dollars for the row; summed into section and school totals. — Food and Nutrition project rows by school. JeffCoFacilityID, UniqueID, and SchoolName are pre-filled and do not need to be updated. Other columns match 02.2 so the School Project List can read this file the same way."
